,True_E,True_N,True_E_std,True_N_std,Real_E,Real_N,Real_E_std,Real_N_std,Jump_Status,Jump_Individual_E,Jump_Individual_N,Jump_Cumulative_E,Jump_Cumulative_N,Jump_Absolute_Cumulative_E,Jump_Absolute_Cumulative_N,Drift_Status,Drift_Individual_E,Drift_Individual_N,Drift_Cumulative_E,Drift_Cumulative_N,Drift_Absolute_Cumulative_E,Drift_Absolute_Cumulative_N,Error_Status,Error_Individual_E,Error_Individual_N,Error_Cumulative_E,Error_Cumulative_N,Error_Absolute_Cumulative_E,Error_Absolute_Cumulative_N
20,5.5,5.25,0.01,0.01,5.690887272686076,5.438019636259884,0.01,0.01,False,0,0,0,0,0,0,True,0.013482794976773632,-0.003981375072650905,0.19088727268607641,0.18801963625988305,0.2811078084686808,0.20112819000036836,True,-0.003981375072650905,-0.003981375072650905,0.18801963625988305,0.18801963625988305,0.2811078084686808,0.20112819000036836
21,6.5,5.25,0.01,0.01,6.713541833210375,5.450786247678416,0.01,0.01,False,0,0,0,0,0,0,True,0.0226545605242981,0.012766611418532761,0.2135418332103745,0.2007862476784158,0.30376236899297887,0.2138948014189011,True,0.012766611418532761,0.012766611418532761,0.2007862476784158,0.2007862476784158,0.30376236899297887,0.2138948014189011
22,7.5,5.25,0.01,0.01,7.705656170571183,5.447189990475018,0.01,0.01,False,0,0,0,0,0,0,True,-0.007885662639191797,-0.003596257203398366,0.2056561705711827,0.19718999047501742,0.31164803163217064,0.21749105862229948,True,-0.003596257203398366,-0.003596257203398366,0.19718999047501742,0.19718999047501742,0.31164803163217064,0.21749105862229948
23,8.5,5.25,0.01,0.01,8.71751449830162,5.449203968207084,0.01,0.01,False,0,0,0,0,0,0,True,0.011858327730437527,0.0020139777320659167,0.21751449830162023,0.19920396820708333,0.3235063593626082,0.21950503635436538,True,0.0020139777320659167,0.0020139777320659167,0.19920396820708333,0.19920396820708333,0.3235063593626082,0.21950503635436538
24,8.5,6.75,0.01,0.01,8.71751449830162,6.949203968207083,0.01,0.01,False,0,0,0,0,0,0,True,0.0,0.0,0.21751449830162023,0.19920396820708333,0.3235063593626082,0.21950503635436538,True,0.0,0.0,0.19920396820708333,0.19920396820708333,0.3235063593626082,0.21950503635436538
25,7.5,6.75,0.01,0.01,7.730015592013689,6.947258923530347,0.01,0.01,False,0,0,0,0,0,0,True,0.012501093712068631,-0.0019450446767364012,0.23001559201368887,0.19725892353034694,0.33600745307467683,0.22145008103110178,True,-0.0019450446767364012,-0.0019450446767364012,0.19725892353034694,0.19725892353034694,0.33600745307467683,0.22145008103110178
26,6.5,6.75,0.01,0.01,6.748116693404852,6.93835507666866,0.01,0.01,False,0,0,0,0,0,0,True,0.0181011013911635,-0.008903846861686644,0.24811669340485237,0.1883550766686603,0.35410855446584033,0.2303539278927884,True,-0.008903846861686644,-0.008903846861686644,0.1883550766686603,0.1883550766686603,0.35410855446584033,0.2303539278927884
27,5.5,6.75,0.01,0.01,5.751310608944729,6.943824611245355,0.01,0.01,False,0,0,0,0,0,0,True,0.0031939155398767287,0.005469534576694447,0.2513106089447291,0.19382461124535474,0.3573024700057171,0.23582346246948285,True,0.005469534576694447,0.005469534576694447,0.19382461124535474,0.19382461124535474,0.3573024700057171,0.23582346246948285
28,4.5,6.75,0.01,0.01,4.756747344372622,6.943598761855258,0.01,0.01,False,0,0,0,0,0,0,True,0.0054367354278928096,-0.00022584939009741983,0.2567473443726219,0.19359876185525732,0.3627392054336099,0.23604931185958028,True,-0.00022584939009741983,-0.00022584939009741983,0.19359876185525732,0.19359876185525732,0.3627392054336099,0.23604931185958028
29,3.5,6.75,0.01,0.01,3.7822207269568815,6.960841956871856,0.01,0.01,False,0,0,0,0,0,0,True,0.025473382584259685,0.017243195016598295,0.2822207269568816,0.2108419568718556,0.38821258801786956,0.25329250687617855,True,0.017243195016598295,0.017243195016598295,0.2108419568718556,0.2108419568718556,0.38821258801786956,0.25329250687617855
